,강우변화,풍속(m/s),강수량(mm),최저운고(100m ),1일후강수량,cos_week_of_year,sin_month,당일유입량
2005-08-06,0.2556259741598073,0.1914734480179507,0.0,0.08654270853970432,0.0,0.08850806705317177,0.2500000000000001,0.023032730722605813
2005-08-07,0.25339426260128045,0.14360508601346297,0.0,0.08652730703257414,0.03483043455113583,0.08850806705317177,0.2500000000000001,0.023032730722605813
2005-08-08,0.2524635776944778,0.13089005235602094,0.03483043455113583,0.08651190552544398,0.003547544259837908,0.12574462591444935,0.2500000000000001,0.024982870394771515
2005-08-09,0.2512140768507426,0.31862378459237095,0.003547544259837908,0.08649650401831381,0.052890659873947,0.12574462591444935,0.2500000000000001,0.0211352975280662
2005-08-10,0.24786972987595163,0.1406133133881825,0.052890659873947,0.08648110251118364,0.02193027360627071,0.12574462591444935,0.2500000000000001,0.023032730722605813
2005-08-11,0.2487730416972601,0.21241585639491395,0.02193027360627071,0.08646570100405347,0.0,0.12574462591444935,0.2500000000000001,0.02793443314183313
2005-08-12,0.24423232986822274,0.2647718773373224,0.0,0.08645029949692332,0.0,0.12574462591444935,0.2500000000000001,0.018394560691508986
2005-08-13,0.24087027089693558,0.156320119670905,0.0,0.08643489798979313,0.0,0.12574462591444935,0.2500000000000001,0.011595425077742054
2005-08-14,0.2385129651814353,0.162303664921466,0.0,0.08641949648266298,0.061363720130915234,0.12574462591444935,0.2500000000000001,0.009592578927950245
2005-08-15,0.23495768443018897,0.12415856394913989,0.061363720130915234,0.08640409497553281,0.23572112271980813,0.1684386708796024,0.2500000000000001,0.00864386233068044
2005-08-16,0.23082273833906564,0.13089005235602094,0.23572112271980813,0.08638869346840261,0.3222662176244121,0.1684386708796024,0.2500000000000001,0.007747852211036735
2005-08-17,0.2311254524610014,0.12789827973074047,0.3222662176244121,0.08637329196127247,0.026624498838985516,0.1684386708796024,0.2500000000000001,0.009592578927950245
2005-08-18,0.22473142172585694,0.13313388182498131,0.026624498838985516,0.08635789045414231,0.055470692062920025,0.1684386708796024,0.2500000000000001,0.021029884572813996
2005-08-19,0.22533201942522965,0.1406133133881825,0.055470692062920025,0.08634248894701213,0.08191602199989352,0.1684386708796024,0.2500000000000001,0.020186580930796394
2005-08-20,0.24430961858020642,0.18997756170531035,0.08191602199989352,0.08632708743988197,0.013521279805173442,0.1684386708796024,0.2500000000000001,0.11157961313445422
2005-08-21,0.2471966740090943,0.1907255048616305,0.013521279805173442,0.0863116859327518,0.019051626580610992,0.1684386708796024,0.2500000000000001,0.08216939861909028
2005-08-22,0.24612107276732234,0.11518324607329844,0.019051626580610992,0.08629628442562164,0.011038852008534581,0.21596762663442204,0.2500000000000001,0.05792441891108418
2005-08-23,0.24453987453465753,0.25504861630516085,0.011038852008534581,0.08628088291849147,0.033466703251250084,0.21596762663442204,0.2500000000000001,0.04859537237126443
2005-08-24,0.2450647937035463,0.3964098728496634,0.033466703251250084,0.08626548141136131,0.020339618167730136,0.21596762663442204,0.2500000000000001,0.04311389869815
2005-08-25,0.2486216846362922,0.1600598354525056,0.020339618167730136,0.08625007990423113,0.012528461392216465,0.21596762663442204,0.2500000000000001,0.06925631160069573
2005-08-26,0.24539166054797695,0.20718025430067313,0.012528461392216465,0.08623467839710097,0.009379947534486675,0.21596762663442204,0.2500000000000001,0.03868655457755758
2005-08-27,0.2422614677126406,0.11518324607329844,0.009379947534486675,0.0862192768899708,0.0062314336767568795,0.21596762663442204,0.2500000000000001,0.026142412902545722
2005-08-28,0.2408316265409437,0.1338818249813014,0.0062314336767568795,0.08620387538284063,0.0030829198190270865,0.21596762663442204,0.2500000000000001,0.020819058662309597
2005-08-29,0.23913127487730415,0.1353777112939417,0.0030829198190270865,0.08618847387571046,0.0003607672128648704,0.26763841397811544,0.2500000000000001,0.015548410899699572
2005-08-30,0.23677396916180393,0.08975317875841436,0.0003607672128648704,0.0861730723685803,0.0,0.26763841397811544,0.2500000000000001,0.013440151794655563
2005-08-31,0.22792441163968,0.05983545250560957,0.0,0.08615767086145013,0.0,0.26763841397811544,0.2500000000000001,0.012280609286881359
2005-09-01,0.2253062565212351,0.19222139117427076,0.0,0.08614226935431996,0.0,0.26763841397811544,0.06698729810778081,0.012386022242133558
2005-09-02,0.22435302907343707,0.17726252804786838,0.0,0.0861268678471898,0.0,0.26763841397811544,0.06698729810778081,0.012491435197385757
2005-09-03,0.2232259020236761,0.22288706058339566,0.0,0.08611146634005962,0.0,0.26763841397811544,0.06698729810778081,0.011437305644863753
2005-09-04,0.22339175071814088,0.4405385190725505,0.0,0.08609606483292946,0.0,0.26763841397811544,0.06698729810778081,0.016180888631212774
2005-09-05,0.22062062835722845,0.8085265519820494,0.0,0.08608066332579929,0.00838510461416233,0.32269755647873205,0.06698729810778081,0.012807674063142361
2005-09-06,0.2214595329185506,0.9955123410620793,0.00838510461416233,0.08606526181866912,0.0,0.32269755647873205,0.06698729810778081,0.012807674063142361
2005-09-07,0.22215674150790277,0.24981301421091998,0.0,0.08604986031153895,0.0,0.32269755647873205,0.06698729810778081,0.008696568808306541
2005-09-08,0.21977045252540867,0.10695587135377711,0.0,0.0860344588044088,0.0,0.32269755647873205,0.06698729810778081,0.006430190270384229
2005-09-09,0.21712492432146963,0.12789827973074047,0.0,0.08601905729727861,0.0,0.32269755647873205,0.06698729810778081,0.00669372265851473
2005-09-10,0.21648568226610504,0.08900523560209424,0.0,0.08600365579014846,0.0,0.32269755647873205,0.06698729810778081,0.006535603225636431
2005-09-11,0.21354871121072763,0.10396409872849664,0.0,0.08598825428301829,0.0,0.32269755647873205,0.06698729810778081,0.005534180150740526
2005-09-12,0.2080080766704023,0.18848167539267016,0.0,0.08597285277588812,0.0022575281653513944,0.38034216785622116,0.06698729810778081,0.005481473673114426
2005-09-13,0.20375558732980376,0.34704562453253546,0.0022575281653513944,0.08595745126875795,0.0,0.38034216785622116,0.06698729810778081,0.008749275285932641
2005-09-14,0.1999458979016115,0.35602094240837684,0.0,0.0859420497616278,0.0,0.38034216785622116,0.06698729810778081,0.005534180150740526
2005-09-15,0.19704757120222594,0.2169035153328347,0.0,0.08592664825449761,0.0,0.38034216785622116,0.06698729810778081,0.004427344120592421
2005-09-16,0.19353093480697142,0.10919970082273746,0.0,0.08591124674736746,0.0,0.38034216785622116,0.06698729810778081,0.004690876508722922
2005-09-17,0.19001429841171696,0.31413612565445026,0.0,0.0858958452402373,0.009804122318097495,0.38034216785622116,0.06698729810778081,0.004638170031096822
2005-09-18,0.18939276835284882,0.060583395661929676,0.009804122318097495,0.08588044373310712,0.12074550644393754,0.38034216785622116,0.06698729810778081,0.00669372265851473
2005-09-19,0.18921242802488697,0.18175018698578907,0.12074550644393754,0.08586504222597695,0.1254344345091146,0.43973165987233825,0.06698729810778081,0.005639593105992725
2005-09-20,0.19012540093519337,0.24158563949139863,0.1254344345091146,0.0858496407188468,0.021369397043450485,0.43973165987233825,0.06698729810778081,0.008749275285932641
2006-06-21,0.24169146346176135,0.2782348541510845,0.02166528622380453,0.08162962776518105,0.02951431983917931,0.0036455629509730136,0.75,0.0051125283297317236
2006-06-22,0.2485701588283031,0.1136873597606582,0.02951431983917931,0.08161422625805088,0.011110783781545123,0.0036455629509730136,0.75,0.013282032361777262
2006-06-23,0.24724658963558366,0.1338818249813014,0.011110783781545123,0.08159882475092073,0.005118450955543256,0.0036455629509730136,0.75,0.007378906867654035
2006-06-24,0.24017467248908297,0.14958863126402394,0.005118450955543256,0.08158342324379055,0.019079754171679543,0.0036455629509730136,0.75,0.0037421599114531167
2006-06-25,0.2363424405198954,0.07703814510097233,0.019079754171679543,0.08156802173666039,0.012147651556414656,0.0036455629509730136,0.75,0.006799135613766932
2006-06-26,0.23564684211204287,0.17576664173522813,0.012147651556414656,0.0815526202295302,0.007248661864257544,0.0,0.75,0.00632477731513203
2006-06-27,0.22943154152336057,0.2169035153328347,0.007248661864257544,0.08153721872240005,0.008562304627141247,0.0,0.75,0.0034786275233226155
2006-06-28,0.2261081269080651,0.1675392670157068,0.008562304627141247,0.08152181721526988,0.010419360763160291,0.0,0.75,0.002740736836557213
