,증기압(hPa),강수량(mm),1일후강수량,풍속(m/s),cos_week_of_year,저수량(현재),시정(10m),sin_month,최저운고(100m ),당일유입량
2003-06-14,0.5026483050847457,0.007268139459180105,0.002737351224886012,0.27449513836948397,0.014529091286973994,0.2147330077219024,0.3011055516210796,0.75,0.09861749012975517,0.007273493912401835
2003-06-15,0.49894067796610164,0.002737351224886012,0.0016456033859545466,0.18399401645474942,0.014529091286973994,0.20838904199296027,0.3009786870287202,0.75,0.09860208862262503,0.005376060717862225
2003-06-16,0.5578654661016949,0.0016456033859545466,0.006943321920324461,0.12191473448017952,0.0036455629509730136,0.20179268192856553,0.30085182243636066,0.75,0.09858668711549484,0.004848995941601222
2003-06-17,0.5341631355932203,0.006943321920324461,0.01240691949697322,0.21391174270755425,0.0036455629509730136,0.19498485633987284,0.30072495784400116,0.75,0.09857128560836467,0.003847572866705318
2003-06-18,0.5609110169491525,0.01240691949697322,0.08835661705986664,0.16529543754674647,0.0036455629509730136,0.18802695844361378,0.3005980932516417,0.75,0.09855588410123452,0.0037421599114531167
2003-06-19,0.6239406779661016,0.08835661705986664,0.0,0.3021690351533283,0.0036455629509730136,0.18408414963573355,0.3004712286592822,0.75,0.09854048259410435,0.03336320033732145
2003-06-20,0.6201006355932203,0.0,0.0,0.14210919970082272,0.0036455629509730136,0.18424104341182573,0.30034436406692266,0.75,0.09852508108697416,0.018552680124387287
2003-09-21,0.4145921610169492,0.011642666264525328,0.008520610506440323,0.32909498878085264,0.43973165987233825,0.7327962563780732,0.2885459569774912,0.06698729810778081,0.09709274092386866,0.01965951615453539
2003-09-22,0.3510328389830508,0.008520610506440323,0.0053985547483553185,0.231114435302917,0.4999999999999999,0.7232734863161341,0.2884190923851317,0.06698729810778081,0.09707733941673849,0.014863226690560269
2003-09-23,0.37791313559322026,0.0053985547483553185,0.0022764989902703163,0.19371727748691098,0.4999999999999999,0.7129798903107862,0.2882922277927722,0.06698729810778081,0.0970619379096083,0.013861803615664366
2003-09-24,0.4434586864406779,0.0022764989902703163,8.13035353667949e-05,0.16155572176514585,0.4999999999999999,0.7023725067532538,0.28816536320041275,0.06698729810778081,0.09704653640247816,0.01291308701839456
2003-09-25,0.5496557203389829,8.13035353667949e-05,0.0,0.11293941660433807,0.4999999999999999,0.6916286938252068,0.28803849860805325,0.06698729810778081,0.09703113489534798,0.013440151794655563
2003-09-26,0.5499205508474576,0.0,0.0,0.08526551982049364,0.4999999999999999,0.6805983792190784,0.28791163401569375,0.06698729810778081,0.09701573338821781,0.011437305644863753
2003-09-27,0.4678230932203389,0.0,0.0,0.07479431563201197,0.4999999999999999,0.6739338044694263,0.2877847694233343,0.06698729810778081,0.09700033188108766,0.009592578927950245
2003-09-28,0.5444915254237287,0.0,0.0,0.08900523560209424,0.4999999999999999,0.6699773527244948,0.2876579048309748,0.06698729810778081,0.09698493037395749,0.010277763137089549
2003-09-29,0.4789459745762711,0.0,0.0,0.23335826477187735,0.5602683401276616,0.6650522524489071,0.2875310402386153,0.06698729810778081,0.0969695288668273,0.01069941495809835
2003-09-30,0.422801906779661,0.0,0.0,0.08975317875841436,0.5602683401276616,0.6630058118911839,0.2874041756462558,0.06698729810778081,0.09695412735969716,0.009170927106941442
2003-10-01,0.46080508474576265,0.0,0.0,0.3014210919970082,0.5602683401276616,0.6625828808425878,0.28727731105389637,0.0,0.096938725852567,0.00859115585305434
2003-10-02,0.34745762711864414,0.0,0.0,0.20418848167539266,0.5602683401276616,0.6599770798657536,0.28715044646153687,0.0,0.09692332434543681,0.009223633584567544
2003-10-03,0.2613877118644068,0.0,0.0,0.2198952879581152,0.5602683401276616,0.6594995770689513,0.28702358186917737,0.0,0.09690792283830665,0.006641016180888631
2003-10-04,0.28469279661016955,0.0,0.0,0.1974569932685116,0.5602683401276616,0.6585855002865018,0.2868967172768179,0.0,0.09689252133117651,0.007853265166288937
2003-10-05,0.31965042372881347,0.0,0.0,0.08825729244577413,0.5602683401276616,0.6573167071407133,0.2867698526844584,0.0,0.0968771198240463,0.005639593105992725
2003-10-06,0.3248146186440677,0.0,0.0,0.1510845175766642,0.6196578321437787,0.6564844879805725,0.2866429880920989,0.0,0.09686171831691616,0.006851842091393032
2003-10-07,0.33011122881355925,0.0,0.0,0.09723261032161555,0.6196578321437787,0.6553521242052991,0.2865161234997395,0.0,0.096846316809786,0.005639593105992725
2003-10-08,0.37632415254237295,0.0,0.0,0.08227374719521316,0.6196578321437787,0.653960544626047,0.28638925890738,0.0,0.09683091530265583,0.006799135613766932
2003-10-09,0.4020127118644068,0.0,0.0,0.11518324607329844,0.6196578321437787,0.6528418237878251,0.28626239431502054,0.0,0.09681551379552565,0.004480050598218521
2003-10-10,0.4078389830508474,0.0,0.0,0.11144353029169783,0.6196578321437787,0.6513547436492129,0.28613552972266104,0.0,0.0968001122883955,0.005692299583618828
2003-10-11,0.4320709745762711,0.0,0.0,0.1787584143605086,0.6196578321437787,0.6501132363775273,0.2860086651303016,0.0,0.09678471078126533,0.0062720708375059294
2003-10-12,0.5225105932203389,0.0,0.014835185086594892,0.25729244577412114,0.6196578321437787,0.6486670850500695,0.2858818005379421,0.0,0.09676930927413516,0.00637748379275813
2003-10-13,0.4978813559322034,0.014835185086594892,0.0032250402362162785,0.18773373223635,0.6773024435212678,0.6482168681273706,0.2857549359455827,0.0,0.096753907767005,0.008274916987297737
2003-10-14,0.35858050847457623,0.0032250402362162785,0.0,0.16080777860882575,0.6773024435212678,0.6473846489672297,0.28562807135322316,0.0,0.09673850625987482,0.006746429136140833
2003-10-15,0.23543432203389827,0.0,0.0,0.26028421839940163,0.6773024435212678,0.6468798602963248,0.28550120676086366,0.0,0.09672310475274465,0.0062720708375059294
2003-10-16,0.2770127118644068,0.0,0.0,0.18997756170531035,0.6773024435212678,0.6457747823951541,0.2853743421685042,0.0,0.09670770324561449,0.005007115374479523
2003-10-17,0.26575741525423735,0.0,0.0,0.11593118922961856,0.6773024435212678,0.6449289202979618,0.2852474775761447,0.0,0.09669230173848432,0.004532757075844621
2003-10-18,0.270656779661017,0.0,0.0,0.17576664173522813,0.6773024435212678,0.6446287756828291,0.2851206129837852,0.0,0.09667690023135414,0.005059821852105624
2003-10-19,0.23119703389830507,0.0,0.0,0.11967090501121914,0.6773024435212678,0.6435373407187099,0.28499374839142577,0.0,0.096661498724224,0.0035313340009487165
2003-10-20,0.2551641949152543,0.0,0.0,0.06282722513089005,0.732361586021884,0.6423776910693335,0.2848668837990663,0.0,0.09664609721709382,0.005059821852105624
2003-10-21,0.3077330508474576,0.0,0.0,0.09872849663425579,0.732361586021884,0.6413681137275231,0.2847400192067068,0.0,0.09663069570996365,0.004480050598218521
2003-10-22,0.24867584745762714,0.0,0.0,0.33732236350037403,0.732361586021884,0.6396763895331388,0.2846131546143473,0.0,0.09661529420283349,0.0032678016128182153
2003-10-23,0.13453389830508475,0.0,0.0,0.2961854899027674,0.732361586021884,0.6378073071570849,0.28448629002198783,0.0,0.09659989269570332,0.0033205080904443155
2003-10-24,0.2014036016949152,0.0,0.0,0.09648466716529544,0.732361586021884,0.6359518677180824,0.28435942542962833,0.0,0.09658449118857314,0.00432193116534022
2003-10-25,0.23106461864406783,0.0,0.0,0.18922961854899029,0.732361586021884,0.6344375017053672,0.2842325608372689,0.0,0.096569089681443,0.005850419016497127
2003-10-26,0.2098781779661017,0.0,0.0,0.1443530291697831,0.732361586021884,0.632950421566755,0.28410569624490933,0.0,0.09655368817431281,0.004532757075844621
2003-10-27,0.23609639830508475,0.0,0.041671868220772165,0.12415856394913989,0.7840323733655774,0.6315451990504517,0.2839788316525499,0.0,0.09653828666718264,0.004111105254835819
2003-10-28,0.21901483050847456,0.041671868220772165,0.06038434887225629,0.35153328347045626,0.7840323733655774,0.6306311222680019,0.2838519670601904,0.0,0.09652288516005249,0.010225056659463447
2003-10-29,0.17809851694915255,0.06038434887225629,0.05899287083775399,0.137621540762902,0.7840323733655774,0.6293623291222135,0.28372510246783095,0.0,0.09650748365292232,0.0006851842091393032
2003-10-30,0.21901483050847456,0.05899287083775399,0.05760139280325169,0.068810770381451,0.7840323733655774,0.6276160331796228,0.28359823787547145,0.0,0.09649208214579214,0.0032150951351921143
2003-10-31,0.3070709745762712,0.05760139280325169,0.056209914768749376,0.10919970082273746,0.7840323733655774,0.6259652377963929,0.28347137328311195,0.0,0.096476680638662,0.004374637642966321
2003-11-01,0.34997351694915246,0.056209914768749376,0.05481843673424707,0.13014210919970082,0.7840323733655774,0.6245463723430382,0.2833445086907525,0.0669872981077807,0.09646127913153181,0.0035840404785748166
2003-11-02,0.3776483050847458,0.05481843673424707,0.05342695869974476,0.09199700822737474,0.7840323733655774,0.6239187972386695,0.28321764409839306,0.0669872981077807,0.09644587762440164,0.003004269224687714
2003-11-03,0.310646186440678,0.05342695869974476,0.05203548066524247,0.17352281226626778,0.8315613291203976,0.6234549373789189,0.28309077950603356,0.0669872981077807,0.09643047611727149,0.002793443314183313
2003-11-04,0.21477754237288132,0.05203548066524247,0.050644002630740155,0.08975317875841436,0.8315613291203976,0.6228273622745506,0.2829639149136742,0.0669872981077807,0.09641507461014132,0.002846149791809414
2003-11-05,0.2796610169491526,0.050644002630740155,0.04925252459623785,0.06731488406881077,0.8315613291203976,0.6223225736036455,0.2828370503213146,0.0669872981077807,0.09639967310301113,0.00416381173246192
2003-11-06,0.2710540254237289,0.04925252459623785,0.04786104656173554,0.07180254300673147,0.8315613291203976,0.6212857103877325,0.2827101857289551,0.0669872981077807,0.09638427159588099,0.0036367469562009177
2003-11-07,0.3224311440677966,0.04786104656173554,0.06888178634857896,0.08825729244577413,0.8315613291203976,0.6197849873120687,0.2825833211365957,0.0669872981077807,0.09636887008875081,0.0024772044484267118
2003-11-08,0.39353813559322026,0.06888178634857896,0.0027412842007838367,0.13986537023186238,0.8315613291203976,0.6181614778029414,0.2824564565442362,0.0669872981077807,0.09635346858162064,0.006008538449375428
2003-11-09,0.35765360169491534,0.0027412842007838367,0.018221477334621983,0.21839940164547492,0.8315613291203976,0.6167426123495867,0.2823295919518766,0.0669872981077807,0.09633806707449048,0.0036367469562009177
2003-11-10,0.3486493644067796,0.018221477334621983,0.02451030579524373,0.12116679132385938,0.8742553740855503,0.6154601762667467,0.2822027273595172,0.0669872981077807,0.09632266556736031,0.004796289463975123
2003-11-11,0.31144067796610175,0.02451030579524373,0.004450555525978467,0.12490650710545999,0.8742553740855503,0.6143550983655763,0.2820758627671577,0.0669872981077807,0.09630726406023013,0.004848995941601222
2003-11-12,0.30336334745762705,0.004450555525978467,0.013674170601557028,0.0762902019446522,0.8742553740855503,0.6128475538213867,0.28194899817479824,0.0669872981077807,0.09629186255309999,0.0036894534338270174
2003-11-13,0.23940677966101695,0.013674170601557028,0.011197339700142923,0.14210919970082272,0.8742553740855503,0.6115855821441241,0.28182213358243874,0.0669872981077807,0.0962764610459698,0.0049544088968534235
2003-11-14,0.24549788135593217,0.011197339700142923,0.008720508798728823,0.12490650710545999,0.8742553740855503,0.6096209992087096,0.2816952689900793,0.0669872981077807,0.09626105953883964,0.002529910926052812
2003-11-15,0.3269332627118644,0.008720508798728823,0.006243677897314718,0.20119670905011217,0.8742553740855503,0.6082635269720866,0.28156840439771985,0.0669872981077807,0.09624565803170948,0.0036367469562009177
2003-11-16,0.1628707627118644,0.006243677897314718,0.0037668469959006136,0.22288706058339566,0.8742553740855503,0.6057736909601901,0.28144153980536035,0.0669872981077807,0.09623025652457931,0.004901702419227323
2003-11-17,0.1391684322033898,0.0037668469959006136,0.0012900160944865101,0.07404637247569185,0.9114919329468282,0.6049346503315234,0.2813146752130008,0.0669872981077807,0.09621485501744913,0.0026880303589311124
2003-11-18,0.21848516949152544,0.0012900160944865101,0.03436971451739065,0.05759162303664921,0.9114919329468282,0.603345248165025,0.28118781062064135,0.0669872981077807,0.09619945351031897,0.002582617403678912
2003-11-19,0.3356726694915254,0.03436971451739065,0.06354503649745816,0.08152580403889303,0.9114919329468282,0.6018990968375673,0.28106094602828186,0.0669872981077807,0.0961840520031888,0.0049544088968534235
2003-11-20,0.39711334745762705,0.06354503649745816,0.02741916561614469,0.030665669409124904,0.9114919329468282,0.6002824087969658,0.2809340814359224,0.0669872981077807,0.09616865049605863,0.0037421599114531167
2003-11-21,0.2119968220338983,0.02741916561614469,0.02256263443690135,0.3597606581899776,0.9114919329468282,0.5990750088679091,0.2808072168435629,0.0669872981077807,0.09615324898892848,0.002371791493174511
2003-11-22,0.07388771186440678,0.02256263443690135,0.01770610325765801,0.22587883320867613,0.9114919329468282,0.5968443886599908,0.2806803522512034,0.0669872981077807,0.09613784748179832,0.0042692246877141194
2003-11-23,0.09745762711864406,0.01770610325765801,0.012849572078414672,0.08526551982049364,0.9114919329468282,0.5944227673333515,0.28055348765884397,0.0669872981077807,0.09612244597466812,0.0026353238813050122
2003-11-24,0.1682997881355932,0.012849572078414672,0.007993040899171328,0.060583395661929676,0.942728012826605,0.5938361210401375,0.2804266230664845,0.0669872981077807,0.09610704446753797,0.0037948663890792177
2003-11-25,0.23344809322033896,0.007993040899171328,0.0031365097199279887,0.16529543754674647,0.942728012826605,0.5923763267756283,0.280299758474125,0.0669872981077807,0.09609164296040783,0.0033732145680704165
2003-11-26,0.23940677966101695,0.0031365097199279887,0.013595757858558828,0.12266267763649961,0.942728012826605,0.5903298862179049,0.2801728938817656,0.0669872981077807,0.09607624145327764,0.0042692246877141194
2003-11-27,0.30031779661016944,0.013595757858558828,0.02526105286662523,0.2056843679880329,0.942728012826605,0.5900706704139267,0.2800460292894061,0.0669872981077807,0.09606083994614747,0.003162388657566015
2003-11-28,0.3572563559322034,0.02526105286662523,0.012984752164175712,0.17427075542258785,0.942728012826605,0.589906955169309,0.2799191646970466,0.0669872981077807,0.09604543843901732,0.005481473673114426
2003-11-29,0.2980667372881356,0.012984752164175712,0.010954562900721528,0.1525804038893044,0.942728012826605,0.5902343856585446,0.279792300104687,0.0669872981077807,0.09603003693188715,0.004585463553470721
2003-11-30,0.24615995762711865,0.010954562900721528,0.008924373637267344,0.15407629020194466,0.942728012826605,0.5888428060792927,0.2796654355123276,0.0669872981077807,0.09601463542475697,0.00416381173246192
2003-12-01,0.2239141949152542,0.008924373637267344,0.006894184373813164,0.1637995512341062,0.9675081213427075,0.5889110207645503,0.2795385709199681,0.24999999999999978,0.09599923391762683,0.0037948663890792177
2003-12-02,0.17968749999999997,0.006894184373813164,0.00486399511035898,0.16155572176514585,0.9675081213427075,0.5874512265000409,0.2794117063276086,0.24999999999999978,0.09598383241049664,0.0035313340009487165
2003-12-03,0.1325476694915254,0.00486399511035898,0.0028338058469047963,0.1099476439790576,0.9675081213427075,0.5860187181096346,0.27928484173524915,0.24999999999999978,0.09596843090336647,0.004585463553470721
2003-12-04,0.12288135593220337,0.0028338058469047963,0.0027492146275942043,0.12116679132385938,0.9675081213427075,0.5840200278315917,0.2791579771428897,0.24999999999999978,0.09595302939623632,0.008274916987297737
2003-12-05,0.17094809322033896,0.0027492146275942043,0.040635506976325134,0.046372475691847416,0.9675081213427075,0.5832355589511311,0.2790311125505302,0.24999999999999978,0.09593762788910615,0.004480050598218521
2003-12-06,0.22325211864406777,0.040635506976325134,0.0,0.3044128646222887,0.9675081213427075,0.5819394799312396,0.27890424795817076,0.24999999999999978,0.09592222638197596,0.005797712538871027
2003-12-07,0.062367584745762705,0.0,0.0,0.31413612565445026,0.9675081213427075,0.5818166934977764,0.27877738336581126,0.24999999999999978,0.09590682487484582,0.006166657882253727
2003-12-08,0.10977224576271186,0.0,0.0,0.13986537023186238,0.985470908713026,0.5804865071352563,0.27865051877345176,0.24999999999999978,0.09589142336771564,0.002740736836557213
2003-12-09,0.10659427966101695,0.0,0.0,0.18698578908002994,0.985470908713026,0.5782899942699664,0.2785236541810923,0.24999999999999978,0.09587602186058547,0.0037421599114531167
2003-12-10,0.09189618644067794,0.0,0.0,0.05385190725504862,0.985470908713026,0.5769257005648176,0.2783967895887328,0.24999999999999978,0.09586062035345531,0.0035840404785748166
2003-12-11,0.1442002118644068,0.0,0.0,0.1518324607329843,0.985470908713026,0.5754181560206282,0.2782699249963733,0.24999999999999978,0.09584521884632514,0.003900279344331419
2003-12-12,0.1148040254237288,0.0,0.0,0.17726252804786838,0.985470908713026,0.5732693934350188,0.2781430604040139,0.24999999999999978,0.09582981733919496,0.002793443314183313
2003-12-13,0.11361228813559321,0.0,0.0,0.13612565445026178,0.985470908713026,0.5722939234358373,0.2780161958116544,0.24999999999999978,0.09581441583206482,0.0037421599114531167
2003-12-14,0.11003707627118645,0.0,0.0,0.1705310396409873,0.985470908713026,0.5696881224590031,0.2778893312192949,0.24999999999999978,0.09579901432493464,0.002793443314183313
2003-12-15,0.11731991525423727,0.0,0.0,0.231114435302917,0.9963544370490269,0.5686649021801413,0.27776246662693543,0.24999999999999978,0.09578361281780447,0.003900279344331419
2003-12-16,0.0969279661016949,0.0,0.0,0.07703814510097233,0.9963544370490269,0.5665093181260064,0.277635602034576,0.24999999999999978,0.09576821131067431,0.002740736836557213
2003-12-17,0.1206302966101695,0.0,0.0,0.28197456993268516,0.9963544370490269,0.5648926300854049,0.2775087374422165,0.24999999999999978,0.09575280980354414,0.002846149791809414
2003-12-18,0.09242584745762711,0.0,0.0,0.21166791323859388,0.9963544370490269,0.5629689759611449,0.27738187284985705,0.24999999999999978,0.09573740829641396,0.0026880303589311124
2003-12-19,0.05097987288135593,0.0,0.0,0.5362752430815259,0.9963544370490269,0.5623482223253022,0.27725500825749755,0.24999999999999978,0.0957220067892838,0.0018447267169135087
2003-12-20,0.034163135593220345,0.0,0.0,0.4218399401645475,0.9963544370490269,0.5591967038664085,0.277128143665138,0.24999999999999978,0.09570660528215363,0.002951562747061613
2003-12-21,0.06170550847457626,0.0,0.0,0.11069558713537772,0.9963544370490269,0.5566318317007286,0.2770012790727785,0.24999999999999978,0.09569120377502346,0.0017920202392874083
2003-12-22,0.1238082627118644,0.0,0.0,0.17127898279730738,1.0,0.5557791481350105,0.27687441448041905,0.24999999999999978,0.09567580226789331,0.002529910926052812
2003-12-23,0.1448622881355932,0.0,0.0,0.1787584143605086,1.0,0.5541692815629349,0.27674754988805955,0.24999999999999978,0.09566040076076313,0.0032150951351921143
2003-12-24,0.14234639830508475,0.0,0.0,0.06806282722513088,1.0,0.5512087642227619,0.27662068529570005,0.24999999999999978,0.09564499925363296,0.002951562747061613
2003-12-25,0.11586334745762711,0.0,0.0,0.262528047868362,1.0,0.5498376490490873,0.2764938207033406,0.24999999999999978,0.0956295977465028,0.0019501396721657094
2003-12-26,0.06660487288135593,0.0,0.0,0.31787584143605085,1.0,0.5480845316379712,0.27636695611098117,0.24999999999999978,0.09561419623937263,0.0028988562694355134
2003-12-27,0.057203389830508475,0.0,0.0,0.17127898279730738,1.0,0.5465633441567301,0.27624009151862167,0.24999999999999978,0.09559879473224246,0.0028988562694355134
2003-12-28,0.08832097457627118,0.0,0.0,0.07928197456993268,1.0,0.5443736527599661,0.2761132269262622,0.24999999999999978,0.0955833932251123,0.0018974331945396088
2003-12-29,0.14472987288135594,0.0,0.0,0.25205684367988035,0.9963544370490269,0.5434322901034134,0.2759863623339028,0.24999999999999978,0.09556799171798212,0.004480050598218521
2003-12-30,0.1206302966101695,0.0,0.0,0.06282722513089005,0.9963544370490269,0.5411948484269693,0.2758594977415432,0.24999999999999978,0.09555259021085195,0.003004269224687714
2003-12-31,0.12354343220338984,0.0,0.0,0.22139117427075544,0.9963544370490269,0.5399738055608612,0.2757326331491838,0.24999999999999978,0.0955371887037218,0.0019501396721657094
2004-01-01,0.1326800847457627,0.0,0.0,0.1555721765145849,0.9963544370490269,0.537579470108325,0.2756057685568243,0.5,0.09552178719659163,0.0031096821799399153
2004-01-02,0.1325476694915254,0.0,0.0,0.20044876589379207,0.9963544370490269,0.5364198204589483,0.2754789039644648,0.5,0.09550638568946145,0.002002846149791809
