,날짜,위치,남중고도,9시고도,12시고도,15시고도,18시고도,9시방위각,12시방위각,15시방위각,18시방위각
0,20160222,대구,43˚ 43´,20˚ 39´,42˚ 47´,33˚ 4´,1˚ 44´,120˚ 49´,166˚ 49´,222˚ 35´,255˚ 54´
0,20160223,대구,44˚ 4´,20˚ 56´,43˚ 9´,33˚ 21´,1˚ 56´,120˚ 34´,166˚ 46´,222˚ 52´,256˚ 13´
0,20160224,대구,44˚ 26´,21˚ 13´,43˚ 31´,33˚ 38´,2˚ 8´,120˚ 19´,166˚ 43´,223˚ 9´,256˚ 32´
0,20160225,대구,44˚ 49´,21˚ 30´,43˚ 53´,33˚ 55´,2˚ 19´,120˚ 4´,166˚ 40´,223˚ 26´,256˚ 51´
0,20160226,대구,45˚ 11´,21˚ 47´,44˚ 15´,34˚ 12´,2˚ 31´,119˚ 49´,166˚ 38´,223˚ 43´,257˚ 10´
0,20160227,대구,45˚ 33´,22˚ 5´,44˚ 38´,34˚ 29´,2˚ 42´,119˚ 33´,166˚ 35´,224˚ 1´,257˚ 29´
0,20160228,대구,45˚ 56´,22˚ 23´,45˚ 1´,34˚ 47´,2˚ 54´,119˚ 18´,166˚ 33´,224˚ 19´,257˚ 49´
0,20160229,대구,46˚ 19´,22˚ 40´,45˚ 23´,35˚ 4´,3˚ 5´,119˚ 2´,166˚ 30´,224˚ 38´,258˚ 9´
0,20160301,대구,46˚ 41´,22˚ 58´,45˚ 46´,35˚ 21´,3˚ 16´,118˚ 47´,166˚ 28´,224˚ 57´,258˚ 29´
0,20160302,대구,47˚ 4´,23˚ 16´,46˚ 9´,35˚ 37´,3˚ 28´,118˚ 31´,166˚ 26´,225˚ 16´,258˚ 49´
0,20160303,대구,47˚ 27´,23˚ 35´,46˚ 32´,35˚ 54´,3˚ 39´,118˚ 16´,166˚ 24´,225˚ 36´,259˚ 9´
0,20160304,대구,47˚ 50´,23˚ 53´,46˚ 56´,36˚ 11´,3˚ 50´,118˚ 0´,166˚ 22´,225˚ 56´,259˚ 30´
0,20160305,대구,48˚ 13´,24˚ 11´,47˚ 19´,36˚ 28´,4˚ 1´,117˚ 44´,166˚ 20´,226˚ 16´,259˚ 51´
0,20160306,대구,48˚ 37´,24˚ 30´,47˚ 43´,36˚ 45´,4˚ 13´,117˚ 28´,166˚ 19´,226˚ 37´,260˚ 11´
0,20160307,대구,49˚ 0´,24˚ 48´,48˚ 6´,37˚ 1´,4˚ 24´,117˚ 12´,166˚ 17´,226˚ 57´,260˚ 32´
0,20160308,대구,49˚ 23´,25˚ 7´,48˚ 30´,37˚ 18´,4˚ 35´,116˚ 57´,166˚ 16´,227˚ 19´,260˚ 53´
0,20160309,대구,49˚ 47´,25˚ 26´,48˚ 53´,37˚ 35´,4˚ 46´,116˚ 40´,166˚ 14´,227˚ 40´,261˚ 14´
0,20160310,대구,50˚ 10´,25˚ 45´,49˚ 17´,37˚ 51´,4˚ 57´,116˚ 24´,166˚ 13´,228˚ 2´,261˚ 36´
