,전일유입량,저수위(현재),저수량(현재),저수위(예년),저수량(예년),현재저수율,당일유입량,홍수기,저수위변화,저수량변화,강우변화,sin_day_of_week,cos_day_of_week,sin_month,cos_month,sin_week_of_year,cos_week_of_year,기온(°C),강수량(mm),풍속(m/s),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),적설(cm),최저운고(100m ),시정(10m),지면온도(°C),1일후강수량,2일후강수량
2013-06-05,6.400000000000001,155.40708333333333,315.7583333333333,149.23,235.9,39.96666666666667,3.1,0.0,6.177083333333343,79.85833333333332,6.899999999999977,0.9749279121818236,-0.2225209339563143,0.4999999999999999,-0.8660254037844387,0.3546048870425358,-0.9350162426854148,22.73333333333333,0.2244047619047619,1.3041666666666667,59.41666666666666,15.0875,13.029166666666669,1013.0916666666668,1016.925,0.4541666666666666,0.5776831734200302,12.056496248167836,237.2565273424448,30.25,0.2529761904761905,0.2815476190476191
2013-06-06,3.1,155.19166666666666,312.6458333333333,149.1,234.4,39.57083333333333,5.3,0.0,6.091666666666669,78.24583333333331,7.074999999999989,0.4338837391175582,-0.900968867902419,0.4999999999999999,-0.8660254037844387,0.3546048870425358,-0.9350162426854148,23.3125,0.2529761904761905,0.9125,60.708333333333336,15.9125,13.775,1011.0791666666668,1014.8958333333334,0.4708333333333334,0.577635595908334,12.059121436853276,237.01977693274569,32.0625,0.2815476190476191,0.3101190476190477
2013-06-07,5.3,154.97458333333333,309.5541666666667,148.98,233.1,39.17916666666667,3.6,0.0,5.994583333333338,76.45416666666668,5.600000000000023,-0.433883739117558,-0.9009688679024191,0.4999999999999999,-0.8660254037844387,0.3546048870425358,-0.9350162426854148,22.9125,0.2815476190476191,1.5708333333333335,65.0,17.445833333333333,15.3375,1008.9083333333332,1012.7291666666666,0.4125,0.5775880183966379,12.06174662553871,236.78302652304657,32.0875,0.3101190476190477,0.3386904761904762
2013-06-08,3.6,154.75958333333332,306.5,148.89,232.0,38.79583333333333,4.1,0.0,5.869583333333338,74.5,-3.0,-0.9749279121818236,-0.2225209339563146,0.4999999999999999,-0.8660254037844387,0.3546048870425358,-0.9350162426854148,21.508333333333336,0.3101190476190477,1.0,65.83333333333333,16.104166666666668,14.045833333333334,1006.7333333333332,1010.5666666666666,0.1041666666666666,0.5775404408849417,12.064371814224147,236.54627611334743,28.558333333333334,0.3386904761904762,0.3672619047619048
2013-06-09,4.1,154.53,303.27500000000003,148.87,231.80000000000004,38.3875,2.6,0.0,5.659999999999997,71.475,-7.699999999999989,-0.7818314824680299,0.6234898018587334,0.4999999999999999,-0.8660254037844387,0.3546048870425358,-0.9350162426854148,21.125,0.3386904761904762,1.8625,66.0,16.104166666666668,14.1,1004.4333333333334,1008.2583333333332,0.0833333333333333,0.5774928633732456,12.066997002909586,236.3095257036483,26.541666666666668,0.3672619047619048,0.5773809523809524
2013-06-10,2.6,154.30416666666667,300.1041666666667,148.8,231.0,37.99166666666667,4.6,0.0,5.504166666666663,69.10416666666669,-13.199999999999989,0.0,1.0,0.4999999999999999,-0.8660254037844387,0.2393156642875576,-0.970941817426052,21.725,0.3672619047619048,2.0541666666666667,62.083333333333336,15.783333333333331,13.779166666666669,1004.1083333333332,1007.9333333333334,0.1333333333333333,0.5774452858615494,12.06962219159502,236.07277529394915,26.979166666666668,0.5773809523809524,0.5393939393939394
2013-06-11,4.6,154.07666666666668,296.9583333333333,148.73,230.2,37.5875,4.9,0.0,5.346666666666692,66.75833333333333,-14.583333333333314,0.7818314824680298,0.6234898018587336,0.4999999999999999,-0.8660254037844387,0.2393156642875576,-0.970941817426052,20.370833333333334,0.5773809523809524,1.8666666666666665,73.91666666666667,17.516666666666666,15.304166666666667,1003.9208333333332,1007.7208333333332,0.0,0.5773977083498533,12.07224738028046,235.83602488425004,23.916666666666668,0.5393939393939394,0.2227272727272727
2013-06-12,4.9,153.885,294.3125,148.64,229.2,37.2625,8.3,0.0,5.2450000000000045,65.11250000000001,-11.25,0.9749279121818236,-0.2225209339563143,0.4999999999999999,-0.8660254037844387,0.2393156642875576,-0.970941817426052,21.029166666666665,0.5393939393939394,0.65,85.875,21.33333333333333,18.491666666666667,1005.0541666666668,1008.8541666666666,0.0,0.5773501308381571,12.074872568965894,235.59927447455087,23.475,0.2227272727272727,0.0996843434343434
2013-06-13,8.3,153.67,291.37916666666666,148.54,228.1,36.87916666666667,6.8,0.0,5.129999999999996,63.27916666666667,-14.800000000000011,0.4338837391175582,-0.900968867902419,0.4999999999999999,-0.8660254037844387,0.2393156642875576,-0.970941817426052,24.2,0.2227272727272727,1.0208333333333333,73.95833333333333,21.791666666666668,18.85833333333333,1008.1708333333332,1011.9416666666666,0.0625,0.577302553326461,12.077497757651331,235.36252406485173,27.104166666666668,0.0996843434343434,0.0305555555555555
2013-06-14,6.8,153.46375,288.58750000000003,148.48,227.4,36.525,7.2,0.0,4.983750000000015,61.18750000000003,-19.5,-0.433883739117558,-0.9009688679024191,0.4999999999999999,-0.8660254037844387,0.2393156642875576,-0.970941817426052,22.3,0.0996843434343434,0.6083333333333333,83.45833333333333,22.325,19.254166666666663,1010.0541666666668,1013.8708333333334,0.0,0.5772549758147648,12.080122946336768,235.12577365515264,24.541666666666668,0.0305555555555555,0.0572222222222222
2013-06-15,7.2,153.24166666666667,285.59166666666664,148.41,226.6,36.15416666666667,4.4,0.0,4.831666666666678,58.991666666666646,-20.59999999999991,-0.9749279121818236,-0.2225209339563146,0.4999999999999999,-0.8660254037844387,0.2393156642875576,-0.970941817426052,24.870833333333334,0.0305555555555555,0.9916666666666668,71.04166666666667,21.504166666666663,18.641666666666666,1007.4875,1011.2708333333334,0.2333333333333333,0.5772073983030687,12.082748135022204,234.8890232454535,28.870833333333334,0.0572222222222222,0.0838888888888888
